experiment,plate_label,plate_key,sample_name,compound_name,unit,dose_idx,dose,y_mean,y_sd,n,y_err
Resazurin_Exp36,A1,A1,ASC397,A1,µM,1,0.4,0.8292273871051683,0.09352587469437994,3,0.23233115235274507
Resazurin_Exp36,A1,A1,ASC397,A1,µM,2,0.8,0.935255006619416,0.05939184745797278,3,0.14753752804087317
Resazurin_Exp36,A1,A1,ASC397,A1,µM,3,1.6,0.6859215847245872,0.01861860919916186,3,0.04625118925197959
Resazurin_Exp36,A1,A1,ASC397,A1,µM,4,3.1,0.4049879761095176,0.059442443829410566,3,0.14766321639523947
Resazurin_Exp36,A1,A1,ASC397,A1,µM,5,6.25,0.04852827191417613,0.05458611381375971,3,0.13559942386265614
Resazurin_Exp36,A1,A1,ASC397,A1,µM,6,12.5,0.005065754594428651,0.0023190810653060273,3,0.005760916730932833
Resazurin_Exp36,A1,A1,ASC397,A1,µM,7,25,0.03713666974871787,0.003103765978968645,3,0.007710182116803692
Resazurin_Exp36,A1,A1,ASC397,A1,µM,8,50,0.09554471758007752,0.0049953849734345485,3,0.012409224197219682
Resazurin_Exp36,A1,A1,ASC397cse,A1,µM,1,0.4,0.9566848571372355,0.05910671388035875,3,0.14682921696783585
Resazurin_Exp36,A1,A1,ASC397cse,A1,µM,2,0.8,0.925155379182867,0.03020701068927341,3,0.0750383744124694
Resazurin_Exp36,A1,A1,ASC397cse,A1,µM,3,1.6,0.8304059696128576,0.031815421085148475,3,0.07903388733283394
Resazurin_Exp36,A1,A1,ASC397cse,A1,µM,4,3.1,0.2593556135502673,0.08676681790738218,3,0.21554072449230194
Resazurin_Exp36,A1,A1,ASC397cse,A1,µM,5,6.25,0.004984231594313996,0.004416883466820394,3,0.010972146788335078
Resazurin_Exp36,A1,A1,ASC397cse,A1,µM,6,12.5,0.015313925515435613,0.006256172109753431,3,0.015541193069039123
Resazurin_Exp36,A1,A1,ASC397cse,A1,µM,7,25,0.0707072072373259,0.009720154721310494,3,0.02414620290725542
Resazurin_Exp36,A1,A1,ASC397cse,A1,µM,8,50,0.1400758740313448,0.007724131000716965,3,0.01918780510938083
Resazurin_Exp36,A1,A1,ASC399,A1,µM,1,0.4,0.8870318492869649,0.04477251550453335,3,0.11122109421473766
Resazurin_Exp36,A1,A1,ASC399,A1,µM,2,0.8,0.936111259194129,0.05599985568792818,3,0.13911135336695862
Resazurin_Exp36,A1,A1,ASC399,A1,µM,3,1.6,0.7418086484284637,0.009165970170692246,3,0.022769532165795216
Resazurin_Exp36,A1,A1,ASC399,A1,µM,4,3.1,0.09152086695544506,0.015050264408578106,3,0.03738692938916265
Resazurin_Exp36,A1,A1,ASC399,A1,µM,5,6.25,0.0456572545729018,0.04017100718894141,3,0.09979031387704297
Resazurin_Exp36,A1,A1,ASC399,A1,µM,6,12.5,0.016419751393044843,0.005814853259728673,3,0.014444896270786331
Resazurin_Exp36,A1,A1,ASC399,A1,µM,7,25,0.06743879744585785,0.01030262876609285,3,0.02559314864801502
Resazurin_Exp36,A1,A1,ASC399,A1,µM,8,50,0.12644315542301773,6.076601726431581e-4,3,0.0015095115507915854
Resazurin_Exp36,A1,A1,ASC399cse,A1,µM,1,0.4,0.9424000209128293,0.05112555434925614,3,0.1270029175931283
Resazurin_Exp36,A1,A1,ASC399cse,A1,µM,2,0.8,0.9739197441005683,0.02438646250047613,3,0.06057933115361801
Resazurin_Exp36,A1,A1,ASC399cse,A1,µM,3,1.6,0.8006238003031239,0.09727924524342334,3,0.24165504167979684
Resazurin_Exp36,A1,A1,ASC399cse,A1,µM,4,3.1,0.16627023167577845,0.08538000653180149,3,0.21209569405513756
Resazurin_Exp36,A1,A1,ASC399cse,A1,µM,5,6.25,0.02494171839057829,0.030561925790462026,3,0.07592003239980173
Resazurin_Exp36,A1,A1,ASC399cse,A1,µM,6,12.5,0.05413354300015406,0.02787143316025855,3,0.06923647819392695
Resazurin_Exp36,A1,A1,ASC399cse,A1,µM,7,25,0.11017153905296971,0.011559577760971527,3,0.02871558304793981
Resazurin_Exp36,A1,A1,ASC399cse,A1,µM,8,50,0.18480565709983263,0.004880668348444971,3,0.012124252302918354
Resazurin_Exp36,A2,A2,ASC397,A2,µM,1,0.4,0.9515465058521343,0.057668386039976295,3,0.1432562125376814
Resazurin_Exp36,A2,A2,ASC397,A2,µM,2,0.8,0.9033358803701379,0.02247509033488386,3,0.05583121947588035
Resazurin_Exp36,A2,A2,ASC397,A2,µM,3,1.6,0.8276392451444713,0.034006967127828046,3,0.08447798950449145
Resazurin_Exp36,A2,A2,ASC397,A2,µM,4,3.1,0.5600589802821574,0.013970419907559106,3,0.03470444694135513
Resazurin_Exp36,A2,A2,ASC397,A2,µM,5,6.25,0.12948426784202233,0.09100911330508213,3,0.22607917047411324
Resazurin_Exp36,A2,A2,ASC397,A2,µM,6,12.5,0.007811257194346004,0.006800418920532837,3,0.01689317709619609
Resazurin_Exp36,A2,A2,ASC397,A2,µM,7,25,0.06729740506237583,0.009221732162662694,3,0.022908052632931327
Resazurin_Exp36,A2,A2,ASC397,A2,µM,8,50,0.16467499013502834,0.007664573026879071,3,0.019039854900534676
Resazurin_Exp36,A2,A2,ASC397cse,A2,µM,1,0.4,0.93676355735416,0.02154238443928486,3,0.053514249586651005
Resazurin_Exp36,A2,A2,ASC397cse,A2,µM,2,0.8,0.9629622218405995,0.03756776651831646,3,0.09332350555438132
Resazurin_Exp36,A2,A2,ASC397cse,A2,µM,3,1.6,0.954612416509662,0.032500599788898826,3,0.0807359655901084
Resazurin_Exp36,A2,A2,ASC397cse,A2,µM,4,3.1,0.4194375047184329,0.2279960597366104,3,0.566373610122195
Resazurin_Exp36,A2,A2,ASC397cse,A2,µM,5,6.25,0.11743260833314664,0.03524212583563476,3,0.08754629383055093
Resazurin_Exp36,A2,A2,ASC397cse,A2,µM,6,12.5,0.001428131732840861,0.001275886648530056,3,0.0031694781395322506
Resazurin_Exp36,A2,A2,ASC397cse,A2,µM,7,25,0.06436714095732543,0.006676721309020377,3,0.01658589519458455
Resazurin_Exp36,A2,A2,ASC397cse,A2,µM,8,50,0.1761903268598507,0.0018575345954623776,3,0.004614371739468985
Resazurin_Exp36,A2,A2,ASC399,A2,µM,1,0.4,0.9836591607015802,0.002660702825581053,3,0.006609552228786555
Resazurin_Exp36,A2,A2,ASC399,A2,µM,2,0.8,0.9935052960386818,0.0074400501734081794,3,0.01848210921307784
Resazurin_Exp36,A2,A2,ASC399,A2,µM,3,1.6,0.9201310236757999,0.06026774450261332,3,0.14971337692107536
Resazurin_Exp36,A2,A2,ASC399,A2,µM,4,3.1,0.4357279964114214,0.07209072986141486,3,0.17908330071634632
Resazurin_Exp36,A2,A2,ASC399,A2,µM,5,6.25,0.12791902044651457,0.0382058342729068,3,0.09490855372621104
Resazurin_Exp36,A2,A2,ASC399,A2,µM,6,12.5,0.011431347203146112,0.009902636062331186,3,0.024599511688175695
Resazurin_Exp36,A2,A2,ASC399,A2,µM,7,25,0.07460549860392751,0.0010667697153832147,3,0.0026500028797366093
Resazurin_Exp36,A2,A2,ASC399,A2,µM,8,50,0.18685136659410032,7.825649872846577e-4,3,0.0019439991968092359
Resazurin_Exp36,A2,A2,ASC399cse,A2,µM,1,0.4,0.97484445658019,0.021404259511178695,3,0.05317112824380968
Resazurin_Exp36,A2,A2,ASC399cse,A2,µM,2,0.8,0.9774776657388394,0.03739935869792318,3,0.09290515733678868
Resazurin_Exp36,A2,A2,ASC399cse,A2,µM,3,1.6,0.8437008328155519,0.060091931157266514,3,0.1492766323596704
Resazurin_Exp36,A2,A2,ASC399cse,A2,µM,4,3.1,0.295513198087877,0.17779461749465295,3,0.4416663142646924
Resazurin_Exp36,A2,A2,ASC399cse,A2,µM,5,6.25,0.060390541919868763,0.05418897114730222,3,0.134612866787964
Resazurin_Exp36,A2,A2,ASC399cse,A2,µM,6,12.5,0.027483600490011667,0.026138414002407333,3,0.06493141994872294
Resazurin_Exp36,A2,A2,ASC399cse,A2,µM,7,25,0.10175473595929818,0.019550788610144455,3,0.04856685128091866
Resazurin_Exp36,A2,A2,ASC399cse,A2,µM,8,50,0.2229999006231024,0.00742947799091845,3,0.018455846455859598
Resazurin_Exp36,A3,A3,ASC397,A3,µM,1,0.4,0.702834476621411,0.027540751739446707,3,0.06841502000591307
Resazurin_Exp36,A3,A3,ASC397,A3,µM,2,0.8,0.949401017593982,0.0454351662603407,3,0.11286720994695855
Resazurin_Exp36,A3,A3,ASC397,A3,µM,3,1.6,0.6281063013537906,0.026889844571567952,3,0.06679807696333684
Resazurin_Exp36,A3,A3,ASC397,A3,µM,4,3.1,0.6652297887655734,0.05308987372153671,3,0.13188255742373217
Resazurin_Exp36,A3,A3,ASC397,A3,µM,5,6.25,0.1354951728095698,0.008168039277282041,3,0.020290534399754232
Resazurin_Exp36,A3,A3,ASC397,A3,µM,6,12.5,0.003024665453723844,0.002649565570747078,3,0.0065818857540481035
Resazurin_Exp36,A3,A3,ASC397,A3,µM,7,25,0.039546217528562126,0.0033797756422895738,3,0.008395828130266724
Resazurin_Exp36,A3,A3,ASC397,A3,µM,8,50,0.08822873521288913,0.00708548709871974,3,0.01760132570805014
Resazurin_Exp36,A3,A3,ASC397cse,A3,µM,1,0.4,0.6291876033652004,0.0075425066598935235,3,0.018736625234969523
Resazurin_Exp36,A3,A3,ASC397cse,A3,µM,2,0.8,0.8497762274069596,0.1303720965807407,3,0.3238622416761742
Resazurin_Exp36,A3,A3,ASC397cse,A3,µM,3,1.6,0.6492262565808902,0.01239248250001724,3,0.030784633120498832
Resazurin_Exp36,A3,A3,ASC397cse,A3,µM,4,3.1,0.5871797454169213,0.024908155522129334,3,0.06187528846266371
Resazurin_Exp36,A3,A3,ASC397cse,A3,µM,5,6.25,0.06950860708324781,0.016791868968256306,3,0.041713314954815596
Resazurin_Exp36,A3,A3,ASC397cse,A3,µM,6,12.5,0.0026431291327722707,0.002901256065940586,3,0.007207119604847412
Resazurin_Exp36,A3,A3,ASC397cse,A3,µM,7,25,0.051522882330328305,0.002520097962215908,3,0.006260270385245695
Resazurin_Exp36,A3,A3,ASC397cse,A3,µM,8,50,0.12144648288401301,0.0013623465450352827,3,0.003384256428994915
Resazurin_Exp36,A3,A3,ASC399,A3,µM,1,0.4,0.8983264357748275,0.012213394427655424,3,0.030339753686220175
Resazurin_Exp36,A3,A3,ASC399,A3,µM,2,0.8,0.9655768660540356,0.04320752849735863,3,0.10733345097181564
Resazurin_Exp36,A3,A3,ASC399,A3,µM,3,1.6,0.8581166158438374,0.016895845622670023,3,0.041971607283186343
Resazurin_Exp36,A3,A3,ASC399,A3,µM,4,3.1,0.7655258078921485,0.06528691229755136,3,0.1621816809220837
Resazurin_Exp36,A3,A3,ASC399,A3,µM,5,6.25,0.05033917593330383,0.01673823023577063,3,0.04158006895663744
Resazurin_Exp36,A3,A3,ASC399,A3,µM,6,12.5,0.0011481656573472218,0.0013563125844053407,3,0.003369267239842859
Resazurin_Exp36,A3,A3,ASC399,A3,µM,7,25,0.0605730555956564,0.001586612038655242,3,0.00394136279914056
Resazurin_Exp36,A3,A3,ASC399,A3,µM,8,50,0.14903541045044733,0.0019360332056059528,3,0.004809373097246628
Resazurin_Exp36,A3,A3,ASC399cse,A3,µM,1,0.4,0.8528187899882665,0.012231889910532721,3,0.030385699012732702
Resazurin_Exp36,A3,A3,ASC399cse,A3,µM,2,0.8,0.989061862998995,0.009476642113365142,3,0.023541284054571697
Resazurin_Exp36,A3,A3,ASC399cse,A3,µM,3,1.6,0.8739835479125074,0.04474594809044825,3,0.11115509709950515
Resazurin_Exp36,A3,A3,ASC399cse,A3,µM,4,3.1,0.7789933138104341,0.08436324899122812,3,0.20956992830489274
Resazurin_Exp36,A3,A3,ASC399cse,A3,µM,5,6.25,0.06289933429545842,0.032488522569881925,3,0.08070596411489545
Resazurin_Exp36,A3,A3,ASC399cse,A3,µM,6,12.5,0.0053600080229243546,0.0066033632227346,3,0.016403663605980216
Resazurin_Exp36,A3,A3,ASC399cse,A3,µM,7,25,0.05751312721547309,0.01740704653637548,3,0.043241500751203296
Resazurin_Exp36,A3,A3,ASC399cse,A3,µM,8,50,0.15501196704821266,0.008312752124164423,3,0.020650021040069508
Resazurin_Exp36,A4,A4,ASC397,A4,µM,1,0.4,0.9839026967627176,0.024081271561682327,3,0.05982119483327583
Resazurin_Exp36,A4,A4,ASC397,A4,µM,2,0.8,0.8656783963482546,0.13056335399652524,3,0.3243373514353765
Resazurin_Exp36,A4,A4,ASC397,A4,µM,3,1.6,0.07838713578794274,0.06699805975490515,3,0.16643240685126195
Resazurin_Exp36,A4,A4,ASC397,A4,µM,4,3.1,0.007692409608020112,0.0131803236086291,3,0.032741738929268745
Resazurin_Exp36,A4,A4,ASC397,A4,µM,5,6.25,0.03412484248074043,0.014329778384595728,3,0.035597142886198974
Resazurin_Exp36,A4,A4,ASC397,A4,µM,6,12.5,0.06579959157892913,0.009345582673413455,3,0.023215714357306832
Resazurin_Exp36,A4,A4,ASC397,A4,µM,7,25,0.1218926097562032,0.0022293668614793414,3,0.005538054293927307
Resazurin_Exp36,A4,A4,ASC397,A4,µM,8,50,0.19764334072186562,0.009940545916249622,3,0.024693684985941423
Resazurin_Exp36,A4,A4,ASC397cse,A4,µM,1,0.4,0.9565344542669774,0.046151917495295264,3,0.11464771871965279
Resazurin_Exp36,A4,A4,ASC397cse,A4,µM,2,0.8,0.13584731183066043,0.046572961616473264,3,0.11569365029938185
Resazurin_Exp36,A4,A4,ASC397cse,A4,µM,3,1.6,0.009145996955885485,0.0023250597189437444,3,0.005775768529899778
Resazurin_Exp36,A4,A4,ASC397cse,A4,µM,4,3.1,0.005969154630374194,0.00526386889829114,3,0.013076175239954684
Resazurin_Exp36,A4,A4,ASC397cse,A4,µM,5,6.25,0.046060005958609054,0.005138566702859563,3,0.012764907330917993
Resazurin_Exp36,A4,A4,ASC397cse,A4,µM,6,12.5,0.10817979718660352,0.008303127210989155,3,0.0206261114302785
Resazurin_Exp36,A4,A4,ASC397cse,A4,µM,7,25,0.17258113785966933,0.0060028382931271804,3,0.014911876981496212
Resazurin_Exp36,A4,A4,ASC397cse,A4,µM,8,50,0.24930451467297002,0.024959342994322304,3,0.062002445192707444
Resazurin_Exp36,A4,A4,ASC399,A4,µM,1,0.4,0.9757090249911377,0.021115653514171787,3,0.05245419120280752
Resazurin_Exp36,A4,A4,ASC399,A4,µM,2,0.8,0.15181746040464497,0.009787285512612334,3,0.02431296503754796
Resazurin_Exp36,A4,A4,ASC399,A4,µM,3,1.6,0.02083441660289107,0.015440815184594026,3,0.038357111300217156
Resazurin_Exp36,A4,A4,ASC399,A4,µM,4,3.1,0.00926051181238974,0.008225696022586498,3,0.020433761695101815
Resazurin_Exp36,A4,A4,ASC399,A4,µM,5,6.25,0.03494996384451624,0.0076911518375976035,3,0.019105880326574055
Resazurin_Exp36,A4,A4,ASC399,A4,µM,6,12.5,0.08595955363540031,0.0074199606001634924,3,0.018432203946567742
Resazurin_Exp36,A4,A4,ASC399,A4,µM,7,25,0.14963334485914703,0.00473028823652254,3,0.011750687395794608
Resazurin_Exp36,A4,A4,ASC399,A4,µM,8,50,0.23465353595748734,0.009691506471970085,3,0.024075036710693283
Resazurin_Exp36,A4,A4,ASC399cse,A4,µM,1,0.4,0.9232659991805363,0.07150639286018032,3,0.17763172713520847
Resazurin_Exp36,A4,A4,ASC399cse,A4,µM,2,0.8,0.5285048716616566,0.18593966373809778,3,0.46189973080198404
Resazurin_Exp36,A4,A4,ASC399cse,A4,µM,3,1.6,0.03474714903461869,0.038576702165902796,3,0.09582984064527977
Resazurin_Exp36,A4,A4,ASC399cse,A4,µM,4,3.1,0.0416769975740255,0.027662821562504464,3,0.06871825825683753
Resazurin_Exp36,A4,A4,ASC399cse,A4,µM,5,6.25,0.05964204391635862,0.0197202847675953,3,0.04898790307763908
Resazurin_Exp36,A4,A4,ASC399cse,A4,µM,6,12.5,0.10983725790997054,0.01761463053377159,3,0.043757167987490846
Resazurin_Exp36,A4,A4,ASC399cse,A4,µM,7,25,0.19410953565382302,0.018989585484744297,3,0.04717274543315998
Resazurin_Exp36,A4,A4,ASC399cse,A4,µM,8,50,0.30426562799797086,0.014230481499136267,3,0.03535047574836977
