Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
F1,FALSE,Sample 1,Target 1,Unknown,SYBR,17.29637885,0.988481629,1.486282165,Amp,FALSE,3,13,77.85107422,,,,,
F2,FALSE,Sample 1,Target 1,Unknown,SYBR,15.0487354,0.9863522,1.463592025,Amp,FALSE,3,10,77.96405029,,,,,
F3,FALSE,Sample 1,Target 1,Unknown,SYBR,17.5371928,0.987510286,1.480796228,Amp,FALSE,3,12,77.85107422,,,,,
F4,FALSE,Sample 1,Target 2,Unknown,SYBR,19.61007638,0.980343454,1.493939973,Amp,FALSE,3,14,73.21896362,,,,,
F5,FALSE,Sample 1,Target 2,Unknown,SYBR,20.9187622,0.985266456,1.477058804,Amp,FALSE,3,15,73.44169617,,,,,
F6,FALSE,Sample 1,Target 2,Unknown,SYBR,21.60745597,0.991747284,1.500350485,Amp,FALSE,3,15,73.32873535,,,,,
F10,FALSE,Sample 1,Target 4,Unknown,SYBR,20.66804632,0.991285806,1.560747335,Amp,FALSE,3,15,77.06182861,,,,,
F11,FALSE,Sample 1,Target 4,Unknown,SYBR,21.20071199,0.987769592,1.55182183,Amp,FALSE,3,15,76.94883728,,,,,
F12,FALSE,Sample 1,Target 4,Unknown,SYBR,20.87491872,0.988341206,1.556565366,Amp,FALSE,3,15,76.94883728,,,,,
F13,FALSE,Sample 1,Target 5,Unknown,FAM-NFQ-MGB,31.6179519,0.989321586,1.586578125,Amp,FALSE,3,27,90.15698242,76.26467133,84.96148682,72.53746796,,
F14,FALSE,Sample 1,Target 5,Unknown,FAM-NFQ-MGB,30.24985619,0.956286897,1.273268389,Amp,FALSE,3,26,85.18737793,81.00839233,72.53746796,88.34985352,,
F15,FALSE,Sample 1,Target 5,Unknown,FAM-NFQ-MGB,31.21862764,0.887340417,0.99670185,Inconclusive,FALSE,3,25,85.41326904,89.25341797,80.66955566,70.95622253,,
G1,FALSE,Sample 2,Target 1,Unknown,SYBR,15.1073305,0.947683482,1.471910846,Amp,FALSE,3,11,78.07702637,,,,,
G2,FALSE,Sample 2,Target 1,Unknown,SYBR,17.44666956,0.991339198,1.491704472,Amp,FALSE,3,12,77.96405029,,,,,
G3,FALSE,Sample 2,Target 1,Unknown,SYBR,17.85924361,0.993436525,1.496188519,Amp,FALSE,3,12,78.07702637,,,,,
G4,FALSE,Sample 2,Target 2,Unknown,SYBR,22.25800313,0.989682112,1.507114107,Amp,FALSE,3,16,73.21896362,,,,,
G5,FALSE,Sample 2,Target 2,Unknown,SYBR,22.66076492,0.989223007,1.47764016,Amp,FALSE,3,17,72.65101624,,,,,
G6,FALSE,Sample 2,Target 2,Unknown,SYBR,22.50048391,0.987358329,1.503055997,Amp,FALSE,3,17,73.21578979,,,,,
G10,FALSE,Sample 2,Target 4,Unknown,SYBR,20.79416054,0.993414201,1.561050512,Amp,FALSE,3,15,76.83584595,,,,,
G11,FALSE,Sample 2,Target 4,Unknown,SYBR,21.15037513,0.989307995,1.55721493,Amp,FALSE,3,16,76.49687195,,,,,
G12,FALSE,Sample 2,Target 4,Unknown,SYBR,21.19501655,0.98844156,1.439491313,Amp,FALSE,3,16,76.72285461,,,,,
G13,FALSE,Sample 2,Target 5,Unknown,FAM-NFQ-MGB,31.23206537,0.983976913,1.485849111,Amp,FALSE,3,26,79.87893677,86.65567017,92.07705688,83.15435791,,
G14,FALSE,Sample 2,Target 5,Unknown,FAM-NFQ-MGB,31.2931559,0.99208219,1.547214035,Amp,FALSE,3,25,82.36373901,88.68869019,92.52883911,78.97536469,,
G15,FALSE,Sample 2,Target 5,Unknown,FAM-NFQ-MGB,28.29565717,0.979304273,1.266472717,Amp,FALSE,3,24,81.91195679,86.54272461,70.27854919,76.26467133,,
