Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,FALSE,Sample 1,Target 1,Unknown,SYBR,17.838119994286394,0.991445034,1.4748338816232518,Amp,FALSE,0.30957770870421714,3,13,77.95525360107422,,,,,
A2,FALSE,Sample 1,Target 1,Unknown,SYBR,17.599091166161735,0.9887945421869794,1.476702593101843,Amp,FALSE,0.30957770870421714,3,12,77.95525360107422,,,,,
A3,FALSE,Sample 1,Target 1,Unknown,SYBR,17.83881718108634,0.974408976,1.4597849439923827,Amp,FALSE,0.30957770870421714,3,12,78.06817626953125,,,,,
A4,FALSE,Sample 1,Target 2,Unknown,SYBR,22.46799773579098,0.986561112,1.4963212275620756,Amp,FALSE,0.33824012433865935,3,16,73.09956359863281,,,,,
A5,FALSE,Sample 1,Target 2,Unknown,SYBR,22.583833788596323,0.9847802253069518,1.4537612571762843,Amp,FALSE,0.33824012433865935,3,16,73.09194946289062,,,,,
A6,FALSE,Sample 1,Target 2,Unknown,SYBR,22.57889223407539,0.9895909408885317,1.5017356046105677,Amp,FALSE,0.33824012433865935,3,17,73.09194946289062,,,,,
A7,FALSE,Sample 1,Target 3,Unknown,SYBR,25.16180095388532,0.9820398880257968,1.476298827868311,Amp,FALSE,0.085564811,3,21,84.49079132080078,63.83743667602539,81.66929626464844,76.81632232666016,,
A8,FALSE,Sample 1,Target 3,Unknown,SYBR,24.77608453890641,0.9910291906181922,1.5051100247588518,Amp,FALSE,0.085564811,3,21,84.49079132080078,64.06315612792969,81.44357299804688,76.92918395996094,,
A9,FALSE,Sample 1,Target 3,Unknown,SYBR,24.98904572403304,0.9909584621291264,1.4902222985954519,Amp,FALSE,0.085564811,3,21,84.38950348,81.34074401855469,63.72566604614258,76.82405090332031,,
A10,FALSE,Sample 1,Target 4,Unknown,SYBR,32.34342613091371,0.9890082546689629,1.4768031723754589,Amp,FALSE,0.32673058155855583,3,26,78.51780700683594,73.09778594970703,,,,
