sample_id,Compound,Unit,pos,fit_ok,p_trend,ED,SE,Lower,Upper
ASC397,KBrO3,mM,A1,TRUE,NA,1.0621570246531888,0.039976958564071734,0.9838021858676083,1.1405118634387694
ASC397,KBrO3_Erastin,mM,A4,TRUE,NA,0.9628796101571825,0.08116852473828459,0.8037893016701447,1.1219699186442202
ASC397,KBrO3_NAC,mM,A3,TRUE,NA,1.1001369386342184,0.05340321791327544,0.9954666315241985,1.2048072457442383
ASC397,KBrO3_SFN,mM,A2,TRUE,NA,0.8187655531741413,0.02528025134040692,0.7692162605469438,0.8683148458013389
ASC397cse,KBrO3,mM,A1,TRUE,NA,1.2464830995942253,0.09203481637638303,1.0660948594965145,1.4268713396919361
ASC397cse,KBrO3_Erastin,mM,A4,TRUE,NA,0.9504081709777863,0.09258606567322072,0.7689394822582737,1.1318768596972988
ASC397cse,KBrO3_NAC,mM,A3,TRUE,NA,1.204515849608347,0.05240688335029344,1.1017983582417719,1.3072333409749222
ASC397cse,KBrO3_SFN,mM,A2,TRUE,NA,0.8486686384865287,0.023332383195199865,0.802937167423937,0.8944001095491205
ASC399,KBrO3,mM,A1,TRUE,NA,0.6483652989939568,0.1115667489922261,0.42969447096919366,0.8670361270187199
ASC399,KBrO3_Erastin,mM,A4,TRUE,NA,0.6468772252972936,0.13552587673160824,0.3812465069033415,0.9125079436912458
ASC399,KBrO3_NAC,mM,A3,TRUE,NA,1.025711185495431,0.032038500742676355,0.9629157240397854,1.0885066469510767
ASC399,KBrO3_SFN,mM,A2,TRUE,NA,0.814299417109707,0.021492222186341,0.7721746616244787,0.8564241725949353
ASC399cse,KBrO3,mM,A1,TRUE,NA,0.9158791086278376,0.16530499092113501,1.0689626412507374,1.347317955618787
ASC399cse,KBrO3_Erastin,mM,A4,TRUE,NA,0.6115914086816701,0.14833560028593978,0.3208536321212281,0.902329185242112
ASC399cse,KBrO3_NAC,mM,A3,TRUE,NA,1.2116570711844963,0.0844447702560241,1.046145321482689,1.3771688208863035
ASC399cse,KBrO3_SFN,mM,A2,TRUE,NA,0.9130554886106081,0.0383182333948758,0.8379517511566515,0.9881592260645647
