P676_A_Fluo	1	2	3	4	5	6	7	8	9	10	11	12		P676_A_Abs	1	2	3	4	5	6	7	8	9	10	11	12		P676_A_Abs_Background	1	2	3	4	5	6	7	8	9	10	11	12
	20479.645	21638.842	21500.801	21554.785	22325.867	22284.744	21450.34	21408.963	21713.354	22358.766	22161.391	23316.895			0.8912	0.8906	0.9132	0.8921	0.9411	0.9327	0.8898	0.8933	0.918	0.957	0.9413	1.0414			0.1948	0.1955	0.2015	0.1961	0.2065	0.2044	0.203	0.2025	0.2044	0.2131	0.2098	0.2279
	21323.904	21872	22737.215	23705.701	23448.896	22810.838	20066.873	19865.875	20297.422	20415.215	21565.527	21786.174			0.8665	0.8729	0.8898	0.9138	0.8946	0.8967	0.9251	0.9067	0.9447	0.8585	0.9036	0.9363			0.1892	0.1939	0.1957	0.2006	0.1985	0.2064	0.2641	0.2588	0.2746	0.2205	0.2263	0.2295
	21042.605	22343.57	23112.393	22490.836	22777.656	23490.723	15995.077	18854.814	19430.27	21105.078	22173.078	23700.334			0.8421	0.8384	0.869	0.8541	0.8396	0.9054	0.8698	0.9309	0.976	0.8961	0.9754	1.0814			0.1873	0.1907	0.1972	0.1965	0.1921	0.207	0.272	0.3058	0.3006	0.2369	0.2569	0.2596
	21585.041	21736.453	22632.006	22386.889	22331.174	21735.145	15885.242	15978.997	15912.962	20088.887	20817.418	20923.818			0.8452	0.8102	0.8304	0.835	0.8464	0.83	0.8634	0.8627	0.8615	0.8644	0.9068	0.9091			0.1877	0.1936	0.1886	0.2004	0.2063	0.1992	0.2727	0.2883	0.2814	0.2346	0.244	0.228
	23244.543	21811.141	21994.035	20998.205	21425.086	21027.199	20716.428	20604.623	21807.143	20733.172	21501.568	21647.564			1.007	0.8979	0.8943	0.8992	0.9387	0.9139	0.9548	0.9457	1.0307	0.8859	0.9192	0.9522			0.233	0.227	0.2106	0.2267	0.2449	0.2384	0.2477	0.2493	0.2751	0.2259	0.2312	0.2309
	21003.547	19329.566	20241.576	15172.712	13065.811	14233.174	20112.412	20061.863	19744.643	23514.014	24309.373	23741.498			0.9119	0.8715	0.8871	0.9179	0.858	0.9132	0.9975	1.0054	1.0042	1.1145	1.181	1.1731			0.2054	0.2423	0.2386	0.3278	0.3459	0.3647	0.3021	0.3008	0.3046	0.2928	0.3004	0.2952
	18930.602	19126.139	15371.904	8330.907	6546.75	8730.29	11951.286	11504.151	11681.002	11353.72	12523.841	11680.691			0.8984	0.8928	0.8651	0.7854	0.7619	0.8231	1.0689	1.1239	1.2053	1.1471	1.1785	1.0794			0.2333	0.2466	0.2789	0.4423	0.4862	0.4633	0.5855	0.6418	0.6808	0.6587	0.6552	0.603
	15610.514	19920.057	15197.512	1936.562	1988.983	1806.7	3317.044	3347.915	3387.423	3536.162	3619.414	3652.832			0.9206	1.0438	0.8842	0.6704	0.6719	0.6747	1.1559	1.2894	1.2025	1.1407	1.1655	1.2146			0.2643	0.2981	0.2707	0.5563	0.5605	0.5476	0.9929	1.0743	1.0268	0.9682	1.0232	1.0475
																																								
