base,Compound,sample_id,samplecse_id,unit,IC50_sample,SE_sample,IC50_sampleCSE,SE_sampleCSE,ratio,ratio_lwr,ratio_upr,p_value
asc390,CSE,ASC390,NA,%,9.991044597919144,1.5029881247485712,10.12130156991846,2.914007744898587,1.0130373726913842,0.5359391251092247,1.9148531435549012,0.968192551928097
asc390,Erastin,ASC390,NA,mM,3.4148676831984075e-4,3.423800758011084e-5,4.826689839384466e-4,3.779587565066607e-5,1.413433926922676,1.1015039122897676,1.8136980209385818,0.0065295315721021945
asc390,Erastin_CSE,ASC390,NA,mM,6.55685308979719e-5,2.4571004093327483e-6,6.899505290370243e-5,2.463317422733406e-6,1.0522586362513193,0.9507460030225761,1.1646099316172398,0.32503700866832813
asc390,H2O2,ASC390,NA,mM,125.79661666920104,NA,5398.878456587064,8068.959429068731,NA,NA,NA,NA
asc390,KBrO3,ASC390,NA,mM,1.5084522405241427,0.17533040741387393,2.637098378553434,0.6736100695837163,1.7482146982904276,1.0085820021048995,3.03024902778388,0.046541398071259524
asc390,Menadione,ASC390,NA,mM,0.03496459377637675,0.010612095797024629,0.06372060542218518,0.005426656541420749,1.822432310517417,0.9824734996632968,3.3805080010362407,0.05692214084467409
asc390,RSL3,ASC390,NA,mM,7.2597194887759e-4,2.9730350233886355e-5,0.0010965618370663511,9.921756806906399e-5,1.5104741150973149,1.2432917391995761,1.8350737646241047,3.287148516187607e-5
asc390,RSL3_CSE,ASC390,NA,mM,1.2596804039286642e-4,3.070071687280834e-5,8.782712837632236e-5,8.013464954778657e-6,0.6972175490101221,0.41864857579624476,1.1611464573195436,0.16578384056207743
asc397,CSE,ASC397,NA,%,6.909012542197307,0.20120436516829723,10.157951727754869,0.8064448975511108,1.4702465317170033,1.2456856733738548,1.735289174652915,5.166981960257133e-6
asc397,Erastin,ASC397,NA,mM,2.104256681633995e-4,2.0918782838202088e-5,2.0446970419962703e-4,2.6252904233904243e-5,0.9716956395303099,0.7068181626321289,1.335834965482675,0.8596486955337512
asc397,Erastin_CSE,ASC397,NA,mM,5.425250406894264e-5,1.4393581673935973e-6,5.8630561164641894e-5,2.5167283438291004e-6,1.0806977884400641,0.9789258979253384,1.1930501710235895,0.12406899922079759
asc397,H2O2,ASC397,NA,mM,0.0015024103786348058,7.784523817589761e-4,1361.0814223762636,73682.24131245389,905931.8557244248,7.486537841632202e-41,10962510903937082e36,0.7999839087604382
asc397,KBrO3,ASC397,NA,mM,1.6850132999840868,0.2958143558193596,2.6589274735355217,NA,NA,NA,NA,NA
asc397,Menadione,ASC397,NA,mM,0.029038385370251923,4.737131991497305e-4,0.03292596297386826,3.7481382520496257e-4,1.1338771957892304,1.090518945143585,1.1789593393644047,2.682358501771912e-10
asc397,RSL3,ASC397,NA,mM,0.001287419797211176,1.454886740914294e-4,8.453280974439802e-4,4.352876773725368e-5,0.6566064148424157,0.5147486107966276,0.8375583245285272,7.055814727150194e-4
asc397,RSL3_CSE,ASC397,NA,mM,6.200084727761092e-5,6.846154646913453e-6,1.7765629657066242e-4,2.0759157265268325e-5,2.8653849805503513,2.0909027608583144,3.926739798934103,5.833997931447598e-11
p676,CSE,P676,NA,%,9.460753571670283,0.44616784172952495,11.432645199899097,0.668567561151232,1.208428600670198,1.0429727701265,1.4001321268824845,0.011733331913339121
p676,Erastin,P676,NA,mM,3.289756370587542e-4,3.090155957557628e-5,4.256362806198529e-4,4.5530219257371224e-5,1.2938231062497654,0.9788070482462482,1.7102229017098904,0.0703688084966172
p676,Erastin_CSE,P676,NA,mM,8.439059973304668e-5,4.783131447764406e-6,1.255488468207928e-4,8.959624542186717e-6,1.4877112761130065,1.244356116727593,1.7786587065560344,1.3072248045864303e-5
p676,H2O2,P676,NA,mM,NA,NA,NA,NA,NA,NA,NA,NA
p676,KBrO3,P676,NA,mM,1.6653616932747028,0.19450263227867948,3.0298555104463376,0.3177138514924778,1.8193378187344675,1.3375384301068935,2.4746878475954985,1.3734680931010704e-4
p676,Menadione,P676,NA,mM,0.02906953465809582,NA,0.06285152244604444,0.005655984756429632,NA,NA,NA,NA
p676,RSL3,P676,NA,mM,0.12986800246508695,NA,NA,NA,NA,NA,NA,NA
p676,RSL3_CSE,P676,NA,mM,1.3440013367960104e-4,9.462688866477118e-6,9.907252198459661e-5,6.155910769850259e-6,0.7371460077619966,0.6132265581076192,0.8861068223077309,0.0011635147342951087
p679,CSE,P679,NA,%,9.444717825040197,0.8102369511296779,9.877583425792366,3.3010280099031526,1.045831501668005,0.5318229770163311,2.05663082858409,0.8966616050585292
p679,Erastin,P679,NA,mM,9.495372329692317e-4,1.4699533099408227e-4,7.287543769016135e-4,5.789161654807686e-5,0.7674837295455773,0.545704659108885,1.0793957230987445,0.128282208488174
p679,Erastin_CSE,P679,NA,mM,7.525118289276307e-5,3.500543403970856e-6,5.259474125665017e-5,1.0687842260842362e-6,0.6989224519114943,0.6327303168911258,0.7720391780595368,1.7059646479104254e-12
p679,H2O2,P679,NA,mM,1598.5647712636728,2206.340533351101,NA,NA,NA,NA,NA,NA
p679,KBrO3,P679,NA,mM,3.1829396681367896,0.4505625349785758,3.2271911426519813,0.4411022746481632,1.0139027060293277,0.6894431262252209,1.491056561723956,0.9440612512551351
p679,Menadione,P679,NA,mM,0.02617686513856008,0.0013007207641544843,0.03204827704687239,0.002182637454459332,1.224297748306896,1.0378277623757524,1.4442714204119036,0.016376120560124535
p679,RSL3,P679,NA,mM,0.02352919134057082,10,NA,NA,NA,NA,NA,NA
p679,RSL3_CSE,P679,NA,mM,1.6525878839254447e-5,5.73214377560657e-7,3.097553090460156e-5,2.2419128003536887e-6,1.8743651218732407,1.6015343686829662,2.193674190697532,4.9560803250700696e-15
