sample_id,Compound,Unit,pos,fit_ok,p_trend,ED,SE,Lower,Upper
ASC390,CSE,%,A1,TRUE,NA,9.991044597919144,1.5029881247485712,6.845254299330348,13.13683489650794
ASC390,Erastin,mM,B4,TRUE,NA,3.4148676831984075e-4,3.423800758011084e-5,2.6982579487965473e-4,4.1314774176002677e-4
ASC390,Erastin_CSE,mM,B3,TRUE,NA,6.55685308979719e-5,2.4571004093327483e-6,6.0425760637141955e-5,7.071130115880184e-5
ASC390,H2O2,mM,A2,TRUE,NA,125.79661666920104,NA,NA,NA
ASC390,KBrO3,mM,A3,TRUE,NA,1.5084522405241427,0.17533040741387393,1.1414814803376956,1.8754230007105899
ASC390,Menadione,mM,A4,TRUE,NA,0.03496459377637675,0.010612095797024629,0.012753222005518886,0.057175965547234614
ASC390,RSL3,mM,B2,TRUE,NA,7.2597194887759e-4,2.9730350233886355e-5,6.637456106920821e-4,7.881982870630978e-4
ASC390,RSL3_CSE,mM,B1,TRUE,NA,1.2596804039286642e-4,3.070071687280834e-5,6.171070149049951e-5,1.9022537929523333e-4
ASC390cse,CSE,%,A1,TRUE,NA,10.12130156991846,2.914007744898587,4.0222132651136056,16.220389874723313
ASC390cse,Erastin,mM,B4,TRUE,NA,4.826689839384466e-4,3.779587565066607e-5,4.0356130704417723e-4,5.61776660832716e-4
ASC390cse,Erastin_CSE,mM,B3,TRUE,NA,6.899505290370243e-5,2.463317422733406e-6,6.383927028427833e-5,7.415083552312653e-5
ASC390cse,H2O2,mM,A2,TRUE,NA,5398.878456587064,8068.959429068731,-11489.647722498528,22287.404635672654
ASC390cse,KBrO3,mM,A3,TRUE,NA,2.637098378553434,0.6736100695837163,1.2272162996230607,4.046980457483807
ASC390cse,Menadione,mM,A4,TRUE,NA,0.06372060542218518,0.005426656541420749,0.05236248274597935,0.075078728098391
ASC390cse,RSL3,mM,B2,TRUE,NA,0.0010965618370663511,9.921756806906399e-5,8.888970804779065e-4,0.0013042265936547958
ASC390cse,RSL3_CSE,mM,B1,TRUE,NA,8.782712837632236e-5,8.013464954778657e-6,7.105475346681264e-5,1.0459950328583208e-4
ASC397,CSE,%,A1,TRUE,NA,6.909012542197307,0.20120436516829723,6.487886966048108,7.330138118346507
ASC397,Erastin,mM,B4,TRUE,NA,2.104256681633995e-4,2.0918782838202088e-5,1.666421524940988e-4,2.542091838327002e-4
ASC397,Erastin_CSE,mM,B3,TRUE,NA,5.425250406894264e-5,1.4393581673935973e-6,5.123989280167878e-5,5.72651153362065e-5
ASC397,H2O2,mM,A2,TRUE,NA,0.0015024103786348058,7.784523817589761e-4,-1.2690918159817132e-4,0.0031317299388677828
ASC397,KBrO3,mM,A3,TRUE,NA,1.6850132999840868,0.2958143558193596,1.0658667376148685,2.304159862353305
ASC397,Menadione,mM,A4,TRUE,NA,0.029038385370251923,4.737131991497305e-4,0.028046892249540822,0.030029878490963023
ASC397,RSL3,mM,B2,TRUE,NA,0.001287419797211176,1.454886740914294e-4,9.829085026938434e-4,0.0015919310917285085
ASC397,RSL3_CSE,mM,B1,TRUE,NA,6.200084727761092e-5,6.846154646913453e-6,4.767168092142184e-5,7.63300136338e-5
ASC397cse,CSE,%,A1,TRUE,NA,10.157951727754869,0.8064448975511108,8.470043158625549,11.845860296884188
ASC397cse,Erastin,mM,B4,TRUE,NA,2.0446970419962703e-4,2.6252904233904243e-5,1.495217441399877e-4,2.5941766425926637e-4
ASC397cse,Erastin_CSE,mM,B3,TRUE,NA,5.8630561164641894e-5,2.5167283438291004e-6,5.33629882025964e-5,6.389813412668738e-5
