sample_id,Compound,Unit,pos,fit_ok,p_trend,ED,SE,Lower,Upper
P676,BSO,mM,A1,TRUE,NA,1.0688687234092762,0.4283705345848813,0.17227889032337318,1.9654585564951792
P676,BSO_CSE,mM,A2,TRUE,NA,0.36152700054110626,0.028756313313263983,0.3013393450603428,0.4217146560218697
P676,Rotenone,mM,A3,TRUE,NA,0.3078531803689349,0.04203477053675591,0.2198733945139711,0.3958329662238987
P676,Rotenone_CSE,mM,A4,TRUE,NA,0.31864354517537025,0.03181720367810125,0.2520493725330958,0.3852377178176447
P676cse,BSO,mM,A1,TRUE,NA,1194789940.3155923,10.000000000000014,1194789919.3853517,1194789961.245833
P676cse,BSO_CSE,mM,A2,TRUE,NA,0.030453269819531,0.01814079029056909,-0.007515840624606803,0.0684223802636688
P676cse,Rotenone,mM,A3,TRUE,NA,0.20915969262488646,0.014527776227285835,0.178752707524116,0.2395666777256569
P676cse,Rotenone_CSE,mM,A4,TRUE,NA,0.22837245875828965,0.013126398260900014,0.20089859145048253,0.2558463260660968
P679,BSO,mM,A1,TRUE,NA,71.28400569209109,228.8971957998986,-407.8033311037053,550.3713424878874
P679,BSO_CSE,mM,A2,TRUE,NA,0.022910542074771827,0.001312653013053345,0.02016312774335963,0.025657956406184023
P679,Rotenone,mM,A3,TRUE,NA,0.26155619085994924,0.05500747867659387,0.14642421481748613,0.37668816690241236
P679,Rotenone_CSE,mM,A4,TRUE,NA,0.2720408093921286,0.029834789891689334,0.20959587649060496,0.33448574229365224
P679cse,BSO,mM,A1,TRUE,NA,1.189841806420824,0.2919485228756794,0.5787865253930525,1.8008970874485954
P679cse,BSO_CSE,mM,A2,TRUE,NA,0.015550200117067368,0.0010232972644174244,0.01340841432783148,0.01769198590630326
P679cse,Rotenone,mM,A3,TRUE,NA,0.256686041446115,0.042832488473916526,0.16703661276004106,0.34633547013218896
P679cse,Rotenone_CSE,mM,A4,TRUE,NA,0.18135375181127752,0.02344913930783364,0.1322741391848103,0.23043336443774476
P698,BSO,mM,A1,TRUE,NA,0.1170176707669991,0.032239451863002165,0.04953972251679678,0.1844956190172014
P698,BSO_CSE,mM,A2,TRUE,NA,0.1340027284482228,0.017480995737524818,0.09741458387457425,0.17059087302187137
P698,Rotenone,mM,A3,TRUE,NA,0.2844687907144584,NA,NA,NA
P698,Rotenone_CSE,mM,A4,TRUE,NA,0.2046244669226461,0.010497544196056727,0.18265285440808504,0.22659607943720717
P698cse,BSO,mM,A1,TRUE,NA,0.44348797374240556,0.07698098997266975,0.2823649099974429,0.6046110374873682
P698cse,BSO_CSE,mM,A2,TRUE,NA,0.006422509449038794,0.0010462083849086315,0.004232770133501361,0.008612248764576226
P698cse,Rotenone,mM,A3,TRUE,NA,0.2739910910299889,0.05849468870948176,0.15156030050591746,0.3964218815540604
P698cse,Rotenone_CSE,mM,A4,TRUE,NA,0.018821031153670714,0.006226611839849671,0.005788582795401774,0.031853479511939654
